Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP0108338,Female,Yes,0,Not Graduate,No,6559,2728,382,360,1,Urban
LP0103825,Male,Yes,0,Not Graduate,Yes,9571,2840,509,360,1,Urban
LP0122313,Female,Yes,0,Not Graduate,Yes,9594,4896,569,360,1,Semiurban
LP0102778,Female,Yes,0,Graduate,Yes,7196,3193,125,360,1,Rural
LP0108633,Male,Yes,2,Graduate,Yes,13459,4631,404,360,1,Urban
LP0100572,Female,Yes,0,Not Graduate,No,6639,3441,66,360,1,Urban
LP098835,Male,No,1,Not Graduate,Yes,13540,2568,184,360,1,Rural
LP0107685,Female,Yes,0,Graduate,No,8278,4476,375,360,1,Semiurban
LP099088,Male,No,0,Graduate,Yes,5905,2499,401,360,0,Rural
LP0120522,Female,No,0,Graduate,No,1748,3231,518,360,0,Urban
LP0104097,Female,Yes,0,Graduate,Yes,13732,2510,241,360,1,Rural
LP0108010,Female,No,0,Graduate,Yes,10994,3994,370,360,0,Semiurban
LP099163,Female,No,0,Graduate,Yes,12514,3806,516,360,1,Urban
LP0126684,Male,No,0,Graduate,Yes,11293,0,450,360,1,Semiurban
LP096551,Female,Yes,0,Graduate,No,11089,1686,360,360,1,Semiurban
LP0135565,Male,Yes,1,Graduate,Yes,11841,4967,71,360,1,Semiurban
LP0100066,Female,Yes,2,Graduate,No,10445,4081,87,360,1,Rural
LP0121954,Male,No,2,Not Graduate,Yes,7860,3850,426,360,1,Urban
LP0110883,Male,No,0,Not Graduate,No,4263,2640,405,120,1,Semiurban
LP0105436,Male,No,1,Graduate,Yes,3962,0,418,360,1,Rural
LP0103024,Female,No,2,Graduate,Yes,6835,0,513,360,0,Urban
LP096328,Female,No,0,Not Graduate,Yes,9870,3528,163,360,1,Semiurban
LP0138027,Male,No,2,Not Graduate,No,8800,1509,374,360,1,Urban
LP0101387,Male,Yes,2,Graduate,Yes,12725,0,490,360,0,Urban
LP0121972,Female,No,0,Graduate,No,10507,2115,332,360,1,Semiurban
LP0100153,Male,Yes,2,Graduate,Yes,11549,0,186,360,0,Urban
LP0136245,Female,No,0,Not Graduate,No,10873,2630,374,360,1,Urban
LP0123511,Female,No,1,Not Graduate,No,6988,0,599,360,1,Urban
LP0106731,Female,Yes,0,Not Graduate,Yes,15221,4492,441,360,1,Semiurban
LP096788,Male,Yes,2,Not Graduate,No,8400,3517,216,360,1,Urban
LP0118637,Female,No,0,Not Graduate,No,4166,0,415,360,1,Urban
LP096975,Female,Yes,1,Not Graduate,No,8875,3939,141,360,1,Rural
LP0129245,Female,Yes,3+,Not Graduate,Yes,6500,1311,63,480,1,Rural
LP0139202,Male,No,2,Not Graduate,Yes,7867,2106,338,240,1,Semiurban
LP098423,Male,No,1,Not Graduate,No,7369,4848,223,180,1,Urban
LP0103939,Female,Yes,2,Not Graduate,Yes,3685,1243,597,360,1,Urban
LP0125225,Female,No,0,Graduate,Yes,3631,4963,223,360,1,Rural
LP0131781,Male,No,2,Graduate,Yes,6296,2184,291,360,0,Semiurban
LP0113506,Male,Yes,2,Not Graduate,No,8746,2008,315,240,1,Urban
LP0131245,Male,Yes,1,Not Graduate,No,3181,1784,170,360,1,Rural
LP0133320,Male,Yes,0,Not Graduate,No,7579,0,486,360,1,Urban
LP0112218,Male,Yes,2,Not Graduate,Yes,8715,1321,223,360,1,Urban
LP0118717,Female,Yes,0,Graduate,No,4454,2929,96,360,1,Rural
LP0106750,Female,Yes,2,Not Graduate,Yes,2306,4053,491,360,1,Urban
LP0115760,Female,No,3+,Graduate,Yes,9799,2232,168,240,1,Rural
LP0125951,Female,No,0,Graduate,No,13041,1433,390,360,1,Semiurban
LP0128908,Female,No,0,Not Graduate,No,2278,3724,284,360,1,Semiurban
LP0120469,Male,Yes,2,Not Graduate,No,10576,2908,218,360,1,Urban
LP0123046,Female,Yes,0,Graduate,Yes,2371,3615,62,360,0,Semiurban
LP0130997,Male,No,1,Graduate,Yes,2337,0,70,240,1,Rural
LP0126942,Male,Yes,1,Graduate,No,9886,1766,395,480,1,Urban
LP0122359,Female,No,0,Not Graduate,Yes,2064,0,299,360,1,Semiurban
LP098825,Female,No,0,Graduate,Yes,14374,4314,574,360,0,Semiurban
LP0128829,Female,No,2,Graduate,No,7492,1772,354,360,1,Urban
LP0133704,Female,No,2,Graduate,No,9231,0,539,360,1,Urban
LP096505,Male,No,0,Graduate,No,4818,0,134,360,1,Rural
LP097249,Male,No,3+,Graduate,No,11716,0,126,360,0,Urban
LP098891,Female,No,0,Not Graduate,No,12022,3022,449,360,1,Semiurban
LP0109787,Female,No,2,Graduate,Yes,4693,3556,370,360,1,Urban
LP097457,Male,No,2,Graduate,No,14324,4393,100,360,1,Urban
LP0132153,Female,No,2,Graduate,No,4068,2708,365,360,1,Urban
LP0129499,Male,No,0,Graduate,Yes,4422,1790,260,180,1,Semiurban
LP097204,Female,No,2,Graduate,Yes,9114,0,527,360,1,Rural
LP0126521,Male,Yes,0,Graduate,Yes,3979,2994,366,360,1,Urban
LP0137251,Female,No,1,Not Graduate,No,8004,3836,597,480,1,Urban
LP0110172,Male,Yes,0,Graduate,Yes,14705,4963,597,360,1,Urban
LP0108518,Male,Yes,1,Not Graduate,No,9510,2104,486,360,1,Semiurban
LP0124990,Female,Yes,0,Graduate,Yes,10721,2890,62,360,1,Rural
LP0130281,Female,Yes,2,Graduate,No,3444,1356,220,360,1,Semiurban
LP0117416,Female,No,0,Not Graduate,Yes,6452,0,122,360,1,Semiurban
LP0134138,Female,Yes,2,Not Graduate,No,13986,1372,192,360,1,Semiurban
LP0135216,Female,No,3+,Graduate,Yes,14370,3387,62,360,1,Urban
LP0106779,Male,Yes,1,Graduate,No,9655,2602,245,360,1,Semiurban
LP0135812,Female,No,1,Not Graduate,Yes,2481,3327,395,360,1,Semiurban
LP0103233,Male,Yes,0,Not Graduate,Yes,1473,1518,534,360,1,Semiurban
LP0102556,Female,No,3+,Graduate,Yes,6435,2924,562,360,1,Semiurban
LP0113449,Female,Yes,0,Not Graduate,Yes,13096,1208,132,360,1,Urban
LP0112345,Female,No,0,Graduate,No,1888,1577,124,360,1,Rural
LP0102161,Female,No,2,Not Graduate,Yes,11235,3666,575,240,1,Urban
LP0122754,Male,No,0,Not Graduate,No,12202,4371,301,360,1,Urban
